Tema Principal;Requisitos Necessários;Presente;Ausente;
Adequação de Recursos;Total Geral de Adequação de Recursos;15;0;
Resultados;Aspecto - Relevância para a Área;;;
Resultados;Novidade prática;1;0;
Resultados;Alinhamento com Demandas e Lacunas do Conhecimento na Área;1;0;
Resultados;Interesse da comunidade;1;0;
Resultados;Potencial de citação;1;0;
Resultados;Potencial de avanço no conhecimento;1;0;
Resultados;Total do Aspecto - Relevância para a Área;5;0;
Resultados;Aspecto - Potencial de avanço do conhecimento;;;
Resultados;Geração de Novas Questões e Linhas de Pesquisa;1;0;
Resultados;Contribuição para o Estado da Arte ou Fronteira do Conhecimento;1;0;
Resultados;Potencial de Aplicação em Diferentes Contextos e Fomento à Inovação;1;0;
Resultados;Contribuição significativa e inovadora ;1;0;
Resultados;Relevância prática;1;0;
Resultados;Total do Aspecto - Potencial de avanço;5;0;
Resultados;Aspecto - Viabilidade e Impacto;;;
Resultados;Viabilidade de Implementação;1;0;
Resultados;Apresenta estratégias de Disseminação;1;0;
Resultados;Possibilidade de sistematização dos resultados em formato publicável;1;0;
Resultados;Aspectos éticos adequadamente considerados ;1;0;
Resultados;Projeto sustentável e bem planejado ;1;0;
Resultados;Total do Aspecto - Viabilidade e Impacto;5;0;
Resultados;Indicadores;;;
Resultados;Cursos realizados ou recebido;1;0;
Resultados;Formaçao de recursos humanos;1;0;
Resultados;Produção de material didático (vídeo, cartilha, etc);1;0;
Resultados;Eventos organizados;1;0;
Resultados;Proteção Propriedade intelectual;1;0;
Resultados;Total de Indicadores;5;0;
Resultados;Total Geral de Resultados;20;0;
Classificação Final;Pontuação Geral;;;
Classificação Final;Definição e Clareza do Problema Prático ;15;;
Classificação Final;Metodologia da Pesquisa;10;;
Classificação Final;Adequação de Recursos;15;;
Classificação Final;Resultados ;20;;
Classificação Final;Pontuação Geral Final;60;;
Classificação por Faixas;Iniciante - Não caracteriza inovação tecnológica significativa;0-20;;
Classificação por Faixas;Em Desenvolvimento - Inovação com desafio tecnológico limitado;21-40;;
Classificação por Faixas;Consolidado - Inovação relevante com bom desafio tecnológico;41-50;;
Classificação por Faixas;Excelência - Inovação de alto impacto com desafio tecnológico significativo;51-60;;
