Tema Principal;Requisitos Necessários;Presente;Ausente;
Resultados;Comercialização realizada;1;0;
Resultados;Total de Indicadores;6;0;
Resultados;Total geral de Resultados;21;0;
Classificação Final;Pontuação Geral;;;
Classificação Final;Caracterização da Inovação;25;;
Classificação Final;Metodologia e Desenvolvimento;10;;
Classificação Final;Recursos e Infraestrutura;10;;
Classificação Final;Resultados;21;;
Classificação Final;Pontuação Geral Final;66;;
Classificação por Faixas;Iniciante - Não caracteriza inovação tecnológica significativa;0-20;;
Classificação por Faixas;Em Desenvolvimento - Inovação com desafio tecnológico limitado;21-40;;
Classificação por Faixas;Consolidado - Inovação relevante com bom desafio tecnológico;41-50;;
Classificação por Faixas;Excelência - Inovação de alto impacto com desafio tecnológico significativo;51-66;;
