Tema Principal;Requisitos Necessários;Presente;Ausente;
Sistematização do Trabalho;Ferramentas de Análise e Validação - Ferramentas estatísticas, software de análise de dados, sistemas de controle de qualidade, plataformas de teste, validação experimental;1;0;
Sistematização do Trabalho;Tecnologias de Prototipagem e Fabricação - Impressão 3D, usinagem CNC, fabricação digital, laboratórios de prototipagem, equipamentos de teste piloto;1;0;
Sistematização do Trabalho;Sistemas de Colaboração e Documentação - Plataformas de gestão documental, sistemas de versionamento, ferramentas de colaboração remota, bases de dados técnicas, sistemas de propriedade intelectual;1;0;
Sistematização do Trabalho;Total das Ferramentas e Métodos Utilizados;5;0;
Sistematização do Trabalho;Equipe e Competências;;;
Sistematização do Trabalho;Formação Acadêmica Relevante;1;0;
Sistematização do Trabalho;Experiência Profissional Específica;1;0;
Sistematização do Trabalho;Histórico de Resultados Comprovados;1;0;
Sistematização do Trabalho;Experiência em Trabalho em Equipe;1;0;
Sistematização do Trabalho;Habilidades Complementares;1;0;
Sistematização do Trabalho;Total de Equipe e Competências;5;0;
Sistematização do Trabalho;Total Geral de Sistematização do Trabalho;20;0;
Recursos e Infraestrutura;Infraestrutura;;;
Recursos e Infraestrutura;Laboratórios especializados e Manutenção e Calibração de Equipamentos;1;0;
Recursos e Infraestrutura;Equipamentos;1;0;
Recursos e Infraestrutura;Insumos de análise;1;0;
Recursos e Infraestrutura;Recursos computacionais , Biblioteca/bases de dados;1;0;
Recursos e Infraestrutura;Materiais de consumo específicos;1;0;
Recursos e Infraestrutura;Total de Infraestrutura;5;0;
Recursos e Infraestrutura;Orçamento;;;
Recursos e Infraestrutura;Universidade;1;0;
Recursos e Infraestrutura;Edital de fomento;1;0;
Recursos e Infraestrutura;Parcerias-colaborações;1;0;
Recursos e Infraestrutura;P&D;1;0;
Recursos e Infraestrutura;Outras fontes;1;0;
Recursos e Infraestrutura;Total do Orçamento;5;0;
Recursos e Infraestrutura;Riscos / Plano de contingência;;;
Recursos e Infraestrutura;Cronograma / Validação prévia;1;0;
Recursos e Infraestrutura;Resultados Inesperados ou Contraditórios/Análise Crítica e Reavaliação;1;0;
Recursos e Infraestrutura;Dificuldade de Interpretação dos Dados/ Equipe técnica e reavaliação;1;0;
Recursos e Infraestrutura;Avanço Científico Rápido na Área/ Monitoramento da Literatura;1;0;
Recursos e Infraestrutura;Limitações Tecnológicas ou de Equipamentos/Planejamento Financeiro;1;0;
Recursos e Infraestrutura;Total de Riscos / Plano de contingência;5;0;
Recursos e Infraestrutura;Parcerias e Colaborações;;;
Recursos e Infraestrutura;Parcerias Acadêmicas e de Pesquisa - Colaboração com universidades, institutos de pesquisa, centros de excelência, laboratórios especializados, pesquisadores renomados;1;0;
Recursos e Infraestrutura;Parcerias Industriais e Tecnológicas - Alianças com empresas do setor, fornecedores estratégicos, integradores de tecnologia, parceiros de desenvolvimento conjunto;1;0;
Recursos e Infraestrutura;Parcerias Institucionais e Governamentais - Colaboração com órgãos públicos, agências de fomento, incubadoras, aceleradoras, organizações setoriais;1;0;
Recursos e Infraestrutura;Parcerias Comerciais e de Mercado - Acordos com distribuidores, canais de venda, clientes estratégicos, parceiros de go-to-market, representantes comerciais;1;0;
Recursos e Infraestrutura;Redes de Colaboração e Ecossistemas - Participação em clusters industriais, redes de inovação, consórcios tecnológicos, comunidades técnicas, plataformas colaborativas;1;0;
Recursos e Infraestrutura;Total de Parcerias e Colaborações;5;0;
Recursos e Infraestrutura;Total Geral de Recursos e Infraestrutura;20;0;
Resultados;Potencial de Mercado;;;
Resultados;Atende Problema de Mercado;1;0;
Resultados;Solução Inovadora com Vantagem Competitiva;1;0;
Resultados;Avaliação do mercado;1;0;
Resultados;Apresenta viabilidade Comercial e Modelo de Negócio;1;0;
Resultados;Validaçao com usuário;1;0;
Resultados;Total de Potencial de Mercado;5;0;
Resultados;Validação com Usuário/Mercado;;;
Resultados;Testes com usuários;1;0;
Resultados;Validação em ambiente real;1;0;
Resultados;Estudos de aceitação;1;0;
Resultados;Análise de desempenho comparativo;1;0;
Resultados;Certificações regulamentares;1;0;
Resultados;Total de Validação com Usuário/Mercado;5;0;
Resultados;Indicadores;;;
Resultados;Cursos realizados ou recebido;1;0;
Resultados;Formação de recursos humanos;1;0;
Resultados;Produção de material didático (vídeo, cartilha, etc);1;0;
Resultados;Eventos organizados;1;0;
Resultados;Proteção Propriedade intelectual;1;0;
Resultados;Total de Indicadores;5;0;
Resultados;Total Geral de Resultados;15;0;
Classificação Final;Pontuação Geral;;;
Classificação Final;Base de Conhecimento Pré-Existente;10;;
Classificação Final;Sistematização do Trabalho;20;;
Classificação Final;Recursos e Infraestrutura;20;;
Classificação Final;Resultados;15;;
Classificação Final;Pontuação Geral Final;65;;
Classificação por Faixas;Iniciante - Não caracteriza inovação tecnológica significativa;0-20;;
Classificação por Faixas;Em Desenvolvimento - Inovação com desafio tecnológico limitado;21-40;;
Classificação por Faixas;Consolidado - Inovação relevante com bom desafio tecnológico;41-50;;
Classificação por Faixas;Excelência - Inovação de alto impacto com desafio tecnológico significativo;51-65;;
